vehicle_id,route_id,stop_id,timestamp,ticket_count,capacity,day_type,time_slot,occupancy_percentage,crowd_level
BUS_NGP_154,R_NGP_03,Ajni,02-01-2026 09:35,40,45,Weekday,Morning,88,HIGH
BUS_NGP_150,R_NGP_03,Sitabuldi,05-01-2026 11:41,25,60,Weekday,Afternoon,41,MEDIUM
BUS_NGP_154,R_NGP_21,Hingna,24-01-2026 03:31,16,40,Weekend,Night,40,MEDIUM
BUS_NGP_005,R_NGP_03,Sadar,24-01-2026 13:13,27,45,Weekend,Afternoon,60,MEDIUM
BUS_NGP_130,R_NGP_03,Sitabuldi,19-01-2026 05:12,8,50,Weekday,Night,16,LOW
BUS_NGP_034,R_NGP_12,Sitabuldi,23-01-2026 21:08,17,45,Weekday,Night,37,LOW
BUS_NGP_078,R_NGP_03,Sadar,29-01-2026 10:56,5,50,Weekday,Morning,10,LOW
BUS_NGP_104,R_NGP_12,Sitabuldi,20-01-2026 15:37,37,60,Weekday,Afternoon,61,MEDIUM
BUS_NGP_026,R_NGP_08,Law_College_Sq,16-01-2026 09:39,34,55,Weekday,Morning,61,MEDIUM
BUS_NGP_087,R_NGP_08,Law_College_Sq,02-01-2026 07:44,21,50,Weekday,Morning,42,MEDIUM
BUS_NGP_087,R_NGP_03,Zero_Mile,05-01-2026 04:25,29,60,Weekday,Night,48,MEDIUM
BUS_NGP_071,R_NGP_12,Sakkardara,09-01-2026 04:23,29,55,Weekday,Night,52,MEDIUM
BUS_NGP_026,R_NGP_08,Dharampeth,10-01-2026 04:15,9,60,Weekend,Night,15,LOW
BUS_NGP_187,R_NGP_03,Ajni,21-01-2026 00:56,34,50,Weekday,Night,68,MEDIUM
BUS_NGP_033,R_NGP_08,Dharampeth,04-01-2026 02:52,29,50,Weekend,Night,57,MEDIUM
BUS_NGP_150,R_NGP_12,Reshimbagh,08-01-2026 03:11,27,40,Weekday,Night,67,MEDIUM
BUS_NGP_090,R_NGP_03,Ajni,04-01-2026 12:55,23,50,Weekend,Afternoon,46,MEDIUM
BUS_NGP_032,R_NGP_03,Ajni,02-01-2026 03:06,16,60,Weekday,Night,26,LOW
BUS_NGP_007,R_NGP_03,Sadar,09-01-2026 05:27,7,55,Weekday,Night,12,LOW
BUS_NGP_061,R_NGP_21,MIHAN,03-01-2026 20:04,24,50,Weekend,Evening,48,MEDIUM
BUS_NGP_150,R_NGP_12,Reshimbagh,25-01-2026 22:37,10,50,Weekend,Night,20,LOW
BUS_NGP_172,R_NGP_12,Sitabuldi,29-01-2026 03:51,13,40,Weekday,Night,32,LOW
BUS_NGP_041,R_NGP_03,Sadar,11-01-2026 12:58,39,60,Weekend,Afternoon,65,MEDIUM
BUS_NGP_075,R_NGP_08,Law_College_Sq,03-01-2026 16:28,16,40,Weekend,Evening,40,MEDIUM
BUS_NGP_046,R_NGP_03,Sitabuldi,25-01-2026 03:17,20,55,Weekend,Night,36,LOW
BUS_NGP_158,R_NGP_12,Manewada,23-01-2026 00:45,22,60,Weekday,Night,36,LOW
BUS_NGP_155,R_NGP_03,Sadar,18-01-2026 22:42,12,55,Weekend,Night,21,LOW
BUS_NGP_112,R_NGP_03,Sadar,03-01-2026 20:58,36,60,Weekend,Evening,60,MEDIUM
BUS_NGP_145,R_NGP_21,Hingna,13-01-2026 13:01,5,50,Weekday,Afternoon,10,LOW
BUS_NGP_056,R_NGP_21,MIHAN,21-01-2026 13:16,23,40,Weekday,Afternoon,57,MEDIUM
BUS_NGP_059,R_NGP_21,Hingna,22-01-2026 05:24,25,40,Weekday,Night,62,MEDIUM
BUS_NGP_077,R_NGP_21,Wardha_Road,16-01-2026 04:43,18,60,Weekday,Night,30,LOW
BUS_NGP_038,R_NGP_08,Dharampeth,25-01-2026 09:45,39,55,Weekend,Morning,70,MEDIUM
BUS_NGP_127,R_NGP_08,Dharampeth,30-01-2026 15:21,7,45,Weekday,Afternoon,15,LOW
BUS_NGP_191,R_NGP_21,Hingna,10-01-2026 13:22,21,45,Weekend,Afternoon,46,MEDIUM
BUS_NGP_030,R_NGP_08,Dharampeth,02-01-2026 18:20,47,60,Weekday,Evening,78,HIGH
BUS_NGP_156,R_NGP_08,Ajni,15-01-2026 05:51,41,60,Weekday,Night,68,MEDIUM
BUS_NGP_005,R_NGP_21,Wadi,12-01-2026 07:24,1,40,Weekday,Morning,2,LOW
BUS_NGP_131,R_NGP_08,Medical_Square,25-01-2026 19:48,39,45,Weekend,Evening,86,HIGH
BUS_NGP_083,R_NGP_08,Medical_Square,18-01-2026 18:01,49,55,Weekend,Evening,89,HIGH
BUS_NGP_148,R_NGP_12,Manewada,01-01-2026 05:07,31,45,Weekday,Night,68,MEDIUM
BUS_NGP_114,R_NGP_12,Manewada,20-01-2026 15:07,20,50,Weekday,Afternoon,40,MEDIUM
BUS_NGP_188,R_NGP_08,Dharampeth,10-01-2026 12:48,11,40,Weekend,Afternoon,27,LOW
BUS_NGP_194,R_NGP_03,Sitabuldi,27-01-2026 02:07,33,60,Weekday,Night,55,MEDIUM
BUS_NGP_188,R_NGP_08,Law_College_Sq,23-01-2026 00:21,13,40,Weekday,Night,32,LOW
BUS_NGP_187,R_NGP_03,Ajni,05-01-2026 04:17,30,55,Weekday,Night,54,MEDIUM
BUS_NGP_178,R_NGP_08,Medical_Square,11-01-2026 07:17,33,60,Weekend,Morning,55,MEDIUM
BUS_NGP_148,R_NGP_08,Ajni,06-01-2026 03:45,24,45,Weekday,Night,53,MEDIUM
BUS_NGP_195,R_NGP_08,Dharampeth,26-01-2026 06:28,13,40,Weekday,Morning,32,LOW
BUS_NGP_006,R_NGP_12,Manewada,26-01-2026 17:19,30,60,Weekday,Evening,50,MEDIUM
BUS_NGP_165,R_NGP_08,Law_College_Sq,12-01-2026 08:07,45,45,Weekday,Morning,100,HIGH
BUS_NGP_193,R_NGP_21,Wardha_Road,26-01-2026 15:13,14,60,Weekday,Afternoon,23,LOW
BUS_NGP_022,R_NGP_03,Ajni,30-01-2026 17:15,6,50,Weekday,Evening,12,LOW
BUS_NGP_135,R_NGP_12,Sakkardara,17-01-2026 01:49,8,50,Weekend,Night,16,LOW
BUS_NGP_142,R_NGP_21,Wadi,13-01-2026 15:27,22,50,Weekday,Afternoon,44,MEDIUM
BUS_NGP_141,R_NGP_12,Sakkardara,21-01-2026 23:52,21,40,Weekday,Night,52,MEDIUM
BUS_NGP_101,R_NGP_21,Hingna,02-01-2026 04:13,11,45,Weekday,Night,24,LOW
BUS_NGP_186,R_NGP_12,Sitabuldi,01-01-2026 15:02,21,40,Weekday,Afternoon,52,MEDIUM
BUS_NGP_158,R_NGP_12,Sakkardara,25-01-2026 10:46,0,50,Weekend,Morning,0,LOW
BUS_NGP_092,R_NGP_08,Ajni,27-01-2026 17:58,22,45,Weekday,Evening,48,MEDIUM
BUS_NGP_152,R_NGP_03,Ajni,25-01-2026 22:17,14,60,Weekend,Night,23,LOW
BUS_NGP_089,R_NGP_08,Medical_Square,10-01-2026 15:20,14,60,Weekend,Afternoon,23,LOW
BUS_NGP_021,R_NGP_12,Reshimbagh,02-01-2026 21:46,41,60,Weekday,Night,68,MEDIUM
BUS_NGP_172,R_NGP_12,Reshimbagh,23-01-2026 12:00,4,60,Weekday,Afternoon,6,LOW
BUS_NGP_146,R_NGP_03,Sadar,02-01-2026 04:33,2,40,Weekday,Night,5,LOW
BUS_NGP_168,R_NGP_21,Wardha_Road,11-01-2026 10:08,22,50,Weekend,Morning,44,MEDIUM
BUS_NGP_180,R_NGP_03,Ajni,22-01-2026 18:23,32,50,Weekday,Evening,64,MEDIUM
BUS_NGP_005,R_NGP_21,Wardha_Road,13-01-2026 00:30,14,55,Weekday,Night,25,LOW
BUS_NGP_085,R_NGP_21,Hingna,17-01-2026 09:21,53,60,Weekend,Morning,88,HIGH
BUS_NGP_118,R_NGP_08,Ajni,04-01-2026 13:50,4,50,Weekend,Afternoon,8,LOW
BUS_NGP_009,R_NGP_03,Zero_Mile,13-01-2026 07:45,16,45,Weekday,Morning,35,LOW
BUS_NGP_080,R_NGP_21,Wadi,11-01-2026 16:29,33,50,Weekend,Evening,66,MEDIUM
BUS_NGP_097,R_NGP_08,Ajni,19-01-2026 11:56,28,60,Weekday,Afternoon,46,MEDIUM
BUS_NGP_163,R_NGP_21,Hingna,12-01-2026 14:37,24,45,Weekday,Afternoon,53,MEDIUM
BUS_NGP_008,R_NGP_21,MIHAN,07-01-2026 13:30,17,60,Weekday,Afternoon,28,LOW
BUS_NGP_064,R_NGP_21,Wadi,26-01-2026 06:49,26,45,Weekday,Morning,57,MEDIUM
BUS_NGP_163,R_NGP_08,Dharampeth,14-01-2026 10:48,31,45,Weekday,Morning,68,MEDIUM
BUS_NGP_156,R_NGP_03,Ajni,20-01-2026 07:33,6,45,Weekday,Morning,13,LOW
BUS_NGP_127,R_NGP_12,Sitabuldi,11-01-2026 11:30,4,50,Weekend,Afternoon,8,LOW
BUS_NGP_138,R_NGP_21,Wardha_Road,05-01-2026 20:46,31,50,Weekday,Evening,62,MEDIUM
BUS_NGP_148,R_NGP_08,Dharampeth,07-01-2026 16:18,27,50,Weekday,Evening,54,MEDIUM
BUS_NGP_055,R_NGP_21,MIHAN,05-01-2026 01:58,11,60,Weekday,Night,18,LOW
BUS_NGP_170,R_NGP_21,Hingna,18-01-2026 03:06,7,45,Weekend,Night,15,LOW
BUS_NGP_075,R_NGP_08,Ajni,14-01-2026 13:33,27,40,Weekday,Afternoon,67,MEDIUM
BUS_NGP_185,R_NGP_08,Law_College_Sq,23-01-2026 04:18,12,50,Weekday,Night,24,LOW
BUS_NGP_149,R_NGP_21,Hingna,20-01-2026 09:49,52,55,Weekday,Morning,94,HIGH
BUS_NGP_142,R_NGP_03,Ajni,26-01-2026 07:21,28,45,Weekday,Morning,62,MEDIUM
BUS_NGP_187,R_NGP_12,Sakkardara,18-01-2026 16:48,9,45,Weekend,Evening,20,LOW
BUS_NGP_090,R_NGP_03,Sitabuldi,30-01-2026 07:58,28,45,Weekday,Morning,62,MEDIUM
BUS_NGP_198,R_NGP_12,Sakkardara,17-01-2026 07:37,17,50,Weekend,Morning,34,LOW
BUS_NGP_091,R_NGP_21,MIHAN,26-01-2026 15:58,14,45,Weekday,Afternoon,31,LOW
BUS_NGP_012,R_NGP_03,Sadar,21-01-2026 07:11,23,40,Weekday,Morning,57,MEDIUM
BUS_NGP_113,R_NGP_08,Law_College_Sq,28-01-2026 14:11,19,55,Weekday,Afternoon,34,LOW
BUS_NGP_179,R_NGP_03,Sitabuldi,05-01-2026 08:33,42,45,Weekday,Morning,93,HIGH
BUS_NGP_149,R_NGP_03,Sadar,13-01-2026 16:21,8,60,Weekday,Evening,13,LOW
BUS_NGP_019,R_NGP_21,Hingna,05-01-2026 18:34,36,50,Weekday,Evening,72,MEDIUM
BUS_NGP_129,R_NGP_12,Manewada,10-01-2026 07:36,4,50,Weekend,Morning,8,LOW
BUS_NGP_032,R_NGP_03,Ajni,13-01-2026 18:24,53,55,Weekday,Evening,96,HIGH
BUS_NGP_041,R_NGP_21,MIHAN,24-01-2026 07:27,28,45,Weekend,Morning,62,MEDIUM
BUS_NGP_096,R_NGP_08,Law_College_Sq,24-01-2026 11:16,26,45,Weekend,Afternoon,57,MEDIUM
BUS_NGP_084,R_NGP_21,Hingna,24-01-2026 15:44,16,50,Weekend,Afternoon,32,LOW
BUS_NGP_167,R_NGP_08,Dharampeth,09-01-2026 08:56,35,45,Weekday,Morning,77,HIGH
BUS_NGP_119,R_NGP_03,Sitabuldi,27-01-2026 16:10,22,60,Weekday,Evening,36,LOW
BUS_NGP_063,R_NGP_03,Sitabuldi,15-01-2026 02:57,18,40,Weekday,Night,45,MEDIUM
BUS_NGP_171,R_NGP_12,Sitabuldi,03-01-2026 00:24,14,40,Weekend,Night,35,LOW
BUS_NGP_045,R_NGP_03,Sitabuldi,22-01-2026 19:01,34,40,Weekday,Evening,85,HIGH
BUS_NGP_186,R_NGP_12,Sakkardara,19-01-2026 02:33,9,60,Weekday,Night,15,LOW
BUS_NGP_154,R_NGP_08,Medical_Square,13-01-2026 18:16,53,55,Weekday,Evening,96,HIGH
BUS_NGP_136,R_NGP_12,Sitabuldi,26-01-2026 06:12,11,45,Weekday,Morning,24,LOW
BUS_NGP_117,R_NGP_03,Sadar,12-01-2026 12:12,2,50,Weekday,Afternoon,4,LOW
BUS_NGP_061,R_NGP_03,Sitabuldi,14-01-2026 08:18,55,55,Weekday,Morning,100,HIGH
BUS_NGP_087,R_NGP_03,Sadar,14-01-2026 22:59,6,55,Weekday,Night,10,LOW
BUS_NGP_146,R_NGP_08,Dharampeth,16-01-2026 23:31,3,60,Weekday,Night,5,LOW
BUS_NGP_093,R_NGP_03,Zero_Mile,05-01-2026 08:51,44,50,Weekday,Morning,88,HIGH
BUS_NGP_051,R_NGP_03,Zero_Mile,02-01-2026 17:34,20,40,Weekday,Evening,50,MEDIUM
BUS_NGP_099,R_NGP_08,Dharampeth,16-01-2026 08:07,60,60,Weekday,Morning,100,HIGH
BUS_NGP_079,R_NGP_12,Sitabuldi,29-01-2026 06:24,22,60,Weekday,Morning,36,LOW
BUS_NGP_083,R_NGP_08,Dharampeth,23-01-2026 15:00,8,40,Weekday,Afternoon,20,LOW
BUS_NGP_127,R_NGP_21,Wardha_Road,04-01-2026 02:22,18,40,Weekend,Night,45,MEDIUM
BUS_NGP_035,R_NGP_03,Sadar,15-01-2026 17:15,0,50,Weekday,Evening,0,LOW
BUS_NGP_120,R_NGP_12,Sitabuldi,03-01-2026 08:21,38,45,Weekend,Morning,84,HIGH
BUS_NGP_199,R_NGP_21,MIHAN,26-01-2026 11:17,13,45,Weekday,Afternoon,28,LOW
BUS_NGP_076,R_NGP_21,Wardha_Road,03-01-2026 12:32,18,60,Weekend,Afternoon,30,LOW
BUS_NGP_184,R_NGP_03,Sitabuldi,12-01-2026 22:54,26,55,Weekday,Night,47,MEDIUM
BUS_NGP_164,R_NGP_21,Wadi,25-01-2026 21:03,15,60,Weekend,Night,25,LOW
BUS_NGP_117,R_NGP_12,Sakkardara,24-01-2026 11:18,19,55,Weekend,Afternoon,34,LOW
BUS_NGP_130,R_NGP_03,Ajni,15-01-2026 07:50,14,45,Weekday,Morning,31,LOW
BUS_NGP_184,R_NGP_08,Medical_Square,10-01-2026 20:14,24,40,Weekend,Evening,60,MEDIUM
BUS_NGP_014,R_NGP_03,Sadar,21-01-2026 17:49,17,50,Weekday,Evening,34,LOW
BUS_NGP_096,R_NGP_03,Zero_Mile,15-01-2026 21:14,1,45,Weekday,Night,2,LOW
BUS_NGP_192,R_NGP_12,Reshimbagh,15-01-2026 00:37,28,45,Weekday,Night,62,MEDIUM
BUS_NGP_067,R_NGP_21,MIHAN,27-01-2026 07:39,22,60,Weekday,Morning,36,LOW
BUS_NGP_107,R_NGP_12,Manewada,06-01-2026 06:31,25,55,Weekday,Morning,45,MEDIUM
BUS_NGP_015,R_NGP_08,Medical_Square,12-01-2026 21:42,24,50,Weekday,Night,48,MEDIUM
BUS_NGP_027,R_NGP_03,Sitabuldi,22-01-2026 18:10,36,40,Weekday,Evening,90,HIGH
BUS_NGP_133,R_NGP_12,Reshimbagh,15-01-2026 19:11,45,45,Weekday,Evening,100,HIGH
BUS_NGP_111,R_NGP_08,Law_College_Sq,12-01-2026 08:35,46,50,Weekday,Morning,92,HIGH
BUS_NGP_124,R_NGP_12,Manewada,15-01-2026 19:28,49,50,Weekday,Evening,98,HIGH
BUS_NGP_164,R_NGP_21,Wardha_Road,14-01-2026 06:01,6,60,Weekday,Morning,10,LOW
BUS_NGP_076,R_NGP_08,Medical_Square,14-01-2026 22:35,19,55,Weekday,Night,34,LOW
BUS_NGP_157,R_NGP_21,MIHAN,19-01-2026 19:22,30,50,Weekday,Evening,60,MEDIUM
BUS_NGP_041,R_NGP_21,Wardha_Road,25-01-2026 20:50,9,55,Weekend,Evening,16,LOW
BUS_NGP_149,R_NGP_12,Manewada,14-01-2026 18:22,36,40,Weekday,Evening,90,HIGH
BUS_NGP_111,R_NGP_12,Reshimbagh,28-01-2026 07:26,16,50,Weekday,Morning,32,LOW
BUS_NGP_124,R_NGP_21,Hingna,06-01-2026 22:20,11,55,Weekday,Night,20,LOW
BUS_NGP_165,R_NGP_08,Law_College_Sq,17-01-2026 04:22,19,60,Weekend,Night,31,LOW
BUS_NGP_066,R_NGP_03,Zero_Mile,06-01-2026 03:19,6,55,Weekday,Night,10,LOW
BUS_NGP_071,R_NGP_08,Ajni,12-01-2026 01:13,26,50,Weekday,Night,52,MEDIUM
BUS_NGP_161,R_NGP_12,Sakkardara,05-01-2026 11:56,17,55,Weekday,Afternoon,30,LOW
BUS_NGP_044,R_NGP_12,Sakkardara,18-01-2026 11:31,19,50,Weekend,Afternoon,38,LOW
BUS_NGP_041,R_NGP_08,Dharampeth,27-01-2026 13:12,5,60,Weekday,Afternoon,8,LOW
BUS_NGP_096,R_NGP_03,Zero_Mile,13-01-2026 11:59,4,40,Weekday,Afternoon,10,LOW
BUS_NGP_166,R_NGP_03,Sitabuldi,17-01-2026 15:25,18,45,Weekend,Afternoon,40,MEDIUM
BUS_NGP_103,R_NGP_03,Sadar,02-01-2026 14:44,28,60,Weekday,Afternoon,46,MEDIUM
BUS_NGP_004,R_NGP_21,Wadi,03-01-2026 07:03,27,50,Weekend,Morning,54,MEDIUM
BUS_NGP_068,R_NGP_12,Reshimbagh,21-01-2026 03:13,16,40,Weekday,Night,40,MEDIUM
BUS_NGP_031,R_NGP_03,Sadar,17-01-2026 19:47,35,55,Weekend,Evening,63,MEDIUM
BUS_NGP_041,R_NGP_03,Sadar,24-01-2026 06:43,33,60,Weekend,Morning,55,MEDIUM
BUS_NGP_079,R_NGP_21,Wardha_Road,26-01-2026 06:45,2,50,Weekday,Morning,4,LOW
BUS_NGP_048,R_NGP_08,Medical_Square,29-01-2026 01:26,26,45,Weekday,Night,57,MEDIUM
BUS_NGP_085,R_NGP_08,Ajni,12-01-2026 22:59,29,45,Weekday,Night,64,MEDIUM
BUS_NGP_034,R_NGP_21,Hingna,11-01-2026 20:14,15,40,Weekend,Evening,37,LOW
BUS_NGP_188,R_NGP_12,Sakkardara,30-01-2026 07:17,4,60,Weekday,Morning,6,LOW
BUS_NGP_171,R_NGP_03,Sadar,25-01-2026 07:38,13,40,Weekend,Morning,32,LOW
BUS_NGP_041,R_NGP_03,Zero_Mile,17-01-2026 00:20,20,55,Weekend,Night,36,LOW
BUS_NGP_134,R_NGP_12,Sitabuldi,08-01-2026 07:23,4,50,Weekday,Morning,8,LOW
BUS_NGP_152,R_NGP_12,Manewada,03-01-2026 15:46,33,55,Weekend,Afternoon,60,MEDIUM
BUS_NGP_084,R_NGP_12,Reshimbagh,23-01-2026 05:46,18,40,Weekday,Night,45,MEDIUM
BUS_NGP_106,R_NGP_21,Wadi,19-01-2026 15:38,24,45,Weekday,Afternoon,53,MEDIUM
BUS_NGP_072,R_NGP_08,Ajni,20-01-2026 23:15,22,60,Weekday,Night,36,LOW
BUS_NGP_060,R_NGP_03,Sitabuldi,26-01-2026 13:53,10,55,Weekday,Afternoon,18,LOW
BUS_NGP_096,R_NGP_08,Ajni,07-01-2026 02:43,17,50,Weekday,Night,34,LOW
BUS_NGP_130,R_NGP_12,Sitabuldi,08-01-2026 02:41,37,60,Weekday,Night,61,MEDIUM
BUS_NGP_151,R_NGP_08,Ajni,27-01-2026 22:28,34,60,Weekday,Night,56,MEDIUM
BUS_NGP_098,R_NGP_03,Sitabuldi,05-01-2026 04:19,2,40,Weekday,Night,5,LOW
BUS_NGP_002,R_NGP_03,Ajni,10-01-2026 17:24,37,55,Weekend,Evening,67,MEDIUM
BUS_NGP_199,R_NGP_21,MIHAN,01-01-2026 12:38,17,60,Weekday,Afternoon,28,LOW
BUS_NGP_044,R_NGP_12,Manewada,14-01-2026 06:36,0,45,Weekday,Morning,0,LOW
BUS_NGP_056,R_NGP_12,Sakkardara,22-01-2026 07:32,4,40,Weekday,Morning,10,LOW
BUS_NGP_152,R_NGP_21,Wadi,24-01-2026 21:53,1,60,Weekend,Night,1,LOW
BUS_NGP_021,R_NGP_08,Medical_Square,21-01-2026 17:23,9,60,Weekday,Evening,15,LOW
BUS_NGP_162,R_NGP_12,Sakkardara,30-01-2026 11:26,20,50,Weekday,Afternoon,40,MEDIUM
BUS_NGP_077,R_NGP_21,Wardha_Road,17-01-2026 15:03,1,50,Weekend,Afternoon,2,LOW
BUS_NGP_161,R_NGP_12,Sakkardara,08-01-2026 10:46,28,60,Weekday,Morning,46,MEDIUM
BUS_NGP_043,R_NGP_12,Manewada,02-01-2026 18:22,31,50,Weekday,Evening,62,MEDIUM
BUS_NGP_184,R_NGP_12,Reshimbagh,18-01-2026 19:15,37,40,Weekend,Evening,92,HIGH
BUS_NGP_078,R_NGP_03,Ajni,08-01-2026 23:49,26,45,Weekday,Night,57,MEDIUM
BUS_NGP_111,R_NGP_12,Reshimbagh,09-01-2026 07:39,25,45,Weekday,Morning,55,MEDIUM
BUS_NGP_142,R_NGP_21,MIHAN,15-01-2026 07:08,15,40,Weekday,Morning,37,LOW
BUS_NGP_124,R_NGP_03,Ajni,09-01-2026 18:02,50,55,Weekday,Evening,90,HIGH
BUS_NGP_046,R_NGP_03,Sadar,17-01-2026 07:48,11,50,Weekend,Morning,22,LOW
BUS_NGP_165,R_NGP_12,Manewada,12-01-2026 14:21,14,45,Weekday,Afternoon,31,LOW
BUS_NGP_022,R_NGP_08,Dharampeth,22-01-2026 15:11,24,50,Weekday,Afternoon,48,MEDIUM
BUS_NGP_122,R_NGP_08,Dharampeth,29-01-2026 04:40,30,55,Weekday,Night,54,MEDIUM
BUS_NGP_164,R_NGP_21,MIHAN,24-01-2026 09:24,53,60,Weekend,Morning,88,HIGH
BUS_NGP_200,R_NGP_21,Hingna,22-01-2026 20:19,9,40,Weekday,Evening,22,LOW
BUS_NGP_197,R_NGP_08,Medical_Square,18-01-2026 10:35,32,60,Weekend,Morning,53,MEDIUM
BUS_NGP_085,R_NGP_21,MIHAN,25-01-2026 21:22,9,40,Weekend,Night,22,LOW
BUS_NGP_138,R_NGP_08,Dharampeth,05-01-2026 03:23,36,55,Weekday,Night,65,MEDIUM
BUS_NGP_117,R_NGP_03,Sadar,06-01-2026 17:32,28,50,Weekday,Evening,56,MEDIUM
BUS_NGP_088,R_NGP_03,Ajni,17-01-2026 21:28,25,45,Weekend,Night,55,MEDIUM
BUS_NGP_008,R_NGP_12,Sakkardara,23-01-2026 03:45,16,40,Weekday,Night,40,MEDIUM
BUS_NGP_109,R_NGP_21,Wardha_Road,02-01-2026 18:22,41,50,Weekday,Evening,82,HIGH
BUS_NGP_037,R_NGP_21,Wardha_Road,12-01-2026 05:42,22,60,Weekday,Night,36,LOW
BUS_NGP_114,R_NGP_03,Sadar,18-01-2026 16:28,29,55,Weekend,Evening,52,MEDIUM
BUS_NGP_026,R_NGP_21,Wardha_Road,20-01-2026 02:42,21,40,Weekday,Night,52,MEDIUM
BUS_NGP_048,R_NGP_08,Ajni,02-01-2026 18:08,33,45,Weekday,Evening,73,MEDIUM
BUS_NGP_194,R_NGP_12,Sakkardara,03-01-2026 19:37,40,45,Weekend,Evening,88,HIGH
BUS_NGP_020,R_NGP_21,MIHAN,05-01-2026 09:25,40,40,Weekday,Morning,100,HIGH
BUS_NGP_069,R_NGP_21,Wadi,16-01-2026 01:19,10,60,Weekday,Night,16,LOW
BUS_NGP_153,R_NGP_12,Sakkardara,08-01-2026 07:20,27,60,Weekday,Morning,45,MEDIUM
BUS_NGP_187,R_NGP_12,Reshimbagh,30-01-2026 08:17,29,45,Weekday,Morning,64,MEDIUM
BUS_NGP_095,R_NGP_21,Wadi,19-01-2026 11:28,1,50,Weekday,Afternoon,2,LOW
